IsBadBuy,RefId
0.027,61860
0.1322,13978
0.0596,15669
0.0816,33678
0.0264,67653
0.0054,36004
0.02,48759
0.0588,46865
0.2008,34787
0.0458,11733
0.0668,32979
0.026,5180
0.0174,31911
0.1226,35466
0.0004,29409
0.1798,38042
0.1418,38263
0.064,35481
0.004,3893
0.0446,21495
0.0022,59045
0.1312,32481
0.2058,22516
0.0808,69511
0.1996,60731
0.1098,12903
0.0444,60754
0.2082,48111
0.2242,58203
0.0252,2907
0.099,72661
0.2094,8438
0.0204,32022
0.2546,45398
0.3212,7629
0.188,30265
0.1626,49760
0.0232,38073
0.0346,9371
0.089,13752
0.0376,42144
0.0702,39290
0.1378,69231
0.1356,9939
0.0346,53617
0.1264,13617
0.175,17940
0.2598,23173
0.025,4068
0.0034,31121
0.0272,7427
0.259,19174
0.1948,7078
0.1752,2174
0.0534,44363
0.1628,60133
0.0152,4752
0.1102,34027
0.0324,45512
0.0608,41507
0.1172,65607
0.1528,50695
0.0374,63133
0.041,50880
0.0668,16837
0.0154,29457
0.037,5622
0.022,52323
0.1488,50390
0.0342,34110
0.1408,58033
0.282,42933
0.1168,44414
0.1356,57638
0.0096,53694
0.0274,6503
0.1198,48101
0.268,30601
0.03,46938
0.3108,12115
0.1786,36046
0.1174,64440
0.1528,59643
0.0918,19591
0.4196,14732
0.0098,43653
0.044,40854
0.1126,49192
0.0,53270
0.0304,41120
0.0658,12751
0.0436,60420
0.1782,12415
0.0772,2135
0.1326,13413
0.0426,10906
0.035,17741
0.0198,72029
0.0476,25846
0.2664,15278
0.2074,41537
0.2036,37040
0.2962,48573
0.038,2554
0.0794,4874
0.062,56284
0.1066,71437
0.2158,7040
0.6726,66055
0.0546,51508
0.0312,61402
0.05,3650
0.1042,69374
0.3612,25740
0.0378,37752
0.162,62989
0.0,31496
0.0536,1954
0.0802,61888
0.0006,53505
0.064,50494
0.0732,32305
0.049,33712
0.105,21196
0.0722,59600
0.1116,60932
0.0616,56436
0.0626,67979
0.1714,2572
0.0744,40657
0.7352,42329
0.3054,52404
0.0994,32703
0.0858,33344
0.0408,38318
0.04,7093
0.0322,11852
0.0542,8053
0.6936,814
0.069,19666
0.0372,3458
0.0034,53793
0.0926,40628
0.05,15328
0.2148,70878
0.1408,34889
0.0564,27046
0.7666,4425
0.1234,48528
0.0546,27585
0.1154,68219
0.332,67554
0.0104,22508
0.0926,2170
0.0218,67385
0.216,4523
0.0308,32349
0.0318,25572
0.0156,51546
0.2032,27087
0.1254,47330
0.081,22264
0.1254,56924
0.3384,62820
0.0096,28083
0.0602,45470
0.1664,36732
0.0408,66987
0.0726,44567
0.146,9067
0.0708,46321
0.2808,10258
0.029,39185
0.0178,9997
0.1392,4691
0.078,64424
0.0526,15528
0.0322,13419
0.4582,11147
0.0724,71449
0.3212,22095
0.0378,43463
0.0642,68331
0.1114,11973
0.0204,33882
0.2292,11812
0.0912,59242
0.1066,72344
0.031,63277
0.0792,38062
0.1082,37014
0.027,52863
0.1138,70208
0.1026,43012
0.1402,9601
0.1168,52920
0.1032,72120
0.0386,59127
0.026,62093
0.0462,25150
0.103,36536
0.1218,46810
0.062,65220
0.1892,10655
0.1588,39525
0.3288,51540
0.8432,48326
0.2174,16591
0.3166,51088
0.0516,28742
0.138,28465
0.2072,28579
0.0,31104
0.0048,19484
0.2088,70545
0.4036,43519
0.187,60720
0.0566,67302
0.1728,20845
0.6488,67544
0.1774,66017
0.9008,53182
0.1008,32513
0.0852,14530
0.6832,71654
0.0634,52296
0.1618,5257
0.1514,8977
0.086,11609
0.1538,23066
0.2292,38551
0.0128,31281
0.0392,70987
0.117,47366
0.163,17329
0.1536,72091
0.1596,3136
0.0918,15943
0.1152,44516
0.1902,14279
0.138,30138
0.1618,21332
0.0546,5226
0.0808,35650
0.1902,71799
0.3348,25918
0.0184,53040
0.0928,14610
0.0548,5095
0.0656,22491
0.1066,72568
0.0318,368
0.0774,57467
0.0412,54260
0.0814,26338
0.6258,42286
0.052,3191
0.1982,6410
0.0562,64291
0.1474,71186
0.06,17679
0.03,21749
0.6532,3478
0.0822,68170
0.1414,33474
0.0214,2371
0.125,24995
0.0246,10088
0.0788,42403
0.1026,64458
0.1256,52384
0.3668,20570
0.2058,41908
0.0796,20703
0.031,38929
0.067,19327
0.195,23892
0.1876,60284
0.7674,70437
0.0956,26831
0.1352,57469
0.1454,63692
0.0004,29182
0.0828,57374
0.0552,39005
0.0234,63465
0.0002,54141
0.2408,61072
0.1618,70490
0.0668,26836
0.0142,2678
0.0588,25673
0.411,26329
0.0458,25727
0.0648,60209
0.2824,10871
0.2222,72801
0.0344,28957
0.0182,71564
0.1374,11535
0.4784,24399
0.0426,26447
0.048,43485
0.2492,65960
0.1984,50800
0.0392,40649
0.0842,50210
0.0516,15474
0.122,47325
0.0472,46511
0.3174,30529
0.1162,71904
0.6402,51296
0.0662,15966
0.1604,50749
0.024,13130
0.0578,60254
0.1726,47779
0.1026,71015
0.0974,60674
0.472,62501
0.6852,64703
0.1184,47210
0.1664,66574
0.2258,25204
0.156,29927
0.0182,30257
0.1612,11868
0.0074,22202
0.0596,45406
0.045,54416
0.0022,42897
0.0126,59646
0.1362,37307
0.0594,8957
0.147,50531
0.1088,50040
0.1564,43749
0.3518,4093
0.1582,5454
0.0326,10054
0.0048,65194
0.0482,60119
0.1946,72649
0.0994,54758
0.4196,8799
0.108,23694
0.031,45383
0.0006,36011
0.0184,53398
0.1604,68640
0.0034,29629
0.032,4502
0.079,20667
0.0428,54448
0.2082,54958
0.1006,21667
0.0504,2620
0.0312,64144
0.101,41379
0.3326,70356
0.0882,58686
0.2464,46857
0.1082,70779
0.035,71672
0.0122,22001
0.1738,45126
0.1434,72365
0.185,13869
0.0402,59915
0.054,47865
0.0794,50111
0.0298,62992
0.101,46654
0.6086,12702
0.06,2722
0.436,20426
0.165,64198
0.4142,41984
0.1516,13148
0.0652,51570
0.0258,30991
0.114,4356
0.0216,52978
0.1114,15974
0.4924,23832
0.0614,29574
0.0904,16797
0.1216,30972
0.0316,22586
0.278,47544
0.0006,38780
0.0022,31994
0.0562,10878
0.0902,30087
0.0628,2161
0.169,23082
0.0438,22808
0.0282,58607
0.002,62733
0.044,48495
0.1932,4056
0.1404,65929
0.0688,35363
0.1414,62807
0.0168,62594
0.0018,29185
0.0066,47566
0.1744,14324
0.1192,5338
0.0056,31742
0.0478,62071
0.0764,14875
0.0986,41647
0.0404,26514
0.1464,60230
0.1064,59026
0.2518,12305
0.1318,7511
0.2912,21736
0.177,30728
0.271,20460
0.0308,915
0.124,1293
0.0112,51549
0.1244,67157
0.0578,2173
0.2614,29845
0.0876,49003
0.0686,58297
0.119,63508
0.31,59815
0.057,26871
0.1608,25361
0.0908,15185
0.0424,10443
0.063,14778
0.0254,7784
0.7814,64308
0.1028,918
0.606,13919
0.098,72443
0.1734,38579
0.1142,43690
0.0014,55578
0.1132,23681
0.1524,62695
0.1782,44854
0.0352,27982
0.0294,7530
0.0466,1753
0.013,55429
0.0568,54670
0.1118,37078
0.1556,39917
0.0614,21063
0.1432,46678
0.0238,9044
0.2116,60481
0.1894,64969
0.1166,2151
0.3656,52533
0.028,13620
0.2244,40311
0.1672,29078
0.1038,48174
0.0498,56926
0.254,35200
0.2706,59075
0.131,2040
0.1672,29827
0.015,2215
0.0008,32262
0.058,13695
0.1026,26616
0.2676,70658
0.0018,5436
0.0426,61252
0.0276,5757
0.3234,65661
0.041,40647
0.0046,56373
0.0162,29666
0.287,22620
0.0784,10164
0.177,37775
0.065,59179
0.223,16277
0.0138,62951
0.0878,37516
0.057,27819
0.2488,23062
0.229,42021
0.2476,24650
0.1372,69630
0.2698,60623
0.406,3791
0.0144,8294
0.0002,55833
0.1302,55034
0.2134,48748
0.0504,8278
0.1192,27069
0.065,17035
0.0238,54783
0.0022,31266
0.1412,6516
0.1186,19749
0.1118,58620
0.0138,62724
0.0044,55629
0.1712,38963
0.1108,13886
0.0408,71773
0.2892,18376
0.0566,13364
0.0898,13686
0.0346,42010
0.0308,4019
0.05,62547
0.1522,47520
0.0538,35527
0.0334,1535
0.0454,67520
0.0932,18628
0.0996,19907
0.0508,44446
0.0746,46621
0.0752,2849
0.07,35763
0.0798,17999
0.1294,65737
0.0476,35513
0.0524,60365
0.1784,26190
0.1034,11533
0.0908,23055
0.0664,69138
0.3304,65700
0.0648,45454
0.1228,41487
0.122,51738
0.2078,7323
0.1592,43866
0.0368,72733
0.0122,14103
0.0732,60307
0.011,374
0.0256,56156
0.0314,43775
0.2364,25111
0.1144,47488
0.6728,49693
0.1284,56469
0.0308,63515
0.1312,69104
0.215,58564
0.0476,42079
0.1156,10759
0.0902,62573
0.0,55653
0.0826,71261
0.0588,30819
0.016,53265
0.0846,50277
0.0012,62830
0.054,17965
0.124,7821
0.0902,6185
0.0812,58627
0.015,15975
0.0992,72839
0.0702,36880
0.0592,17946
0.0526,38876
0.0356,19677
0.1166,33762
0.089,57700
0.1498,47385
0.0698,61057
0.037,18197
0.084,32036
0.0944,43093
0.9394,29736
0.012,71046
0.1236,42481
0.1686,11894
0.1382,72262
0.155,54273
0.0944,22727
0.0904,50051
0.1038,41916
0.0202,44966
0.1496,59384
0.0772,43907
0.0574,60041
0.0182,70633
0.2018,70919
0.0016,29375
0.1598,33263
0.4002,35857
0.012,13396
0.1094,40604
0.2192,63354
0.1194,798
0.0888,62318
0.0254,40745
0.073,50755
0.1216,66158
0.4372,58570
0.1152,48338
0.007,40086
0.1304,18029
0.5828,59020
0.0384,39172
0.0688,40048
0.1118,16953
0.1026,36491
0.0762,7655
0.047,1778
0.0352,66579
0.236,42769
0.0282,23453
0.195,69298
0.019,21774
0.031,45386
0.7318,64531
0.0014,24576
0.079,49555
0.0178,2188
0.0068,62995
0.1914,23568
0.2018,13252
0.12,65994
0.2144,42855
0.1356,58648
0.2016,43244
0.003,29698
0.094,19116
0.0122,64185
0.0512,26300
0.0008,31236
0.304,14899
0.101,3980
0.0032,31598
0.1364,33944
0.0638,35674
0.0322,15018
0.1878,42194
0.1056,66670
0.0912,22540
0.2012,29110
0.108,9135
0.057,72670
0.225,26232
0.0622,28627
0.1394,41662
0.0214,53078
0.1422,26431
0.032,58130
0.2128,15338
0.1096,25990
0.6942,1706
0.0728,19170
0.0852,27290
0.0388,5280
0.0024,24518
0.0028,54140
0.0,30875
0.118,8945
0.2266,8875
0.1174,62599
0.09,25422
0.1984,17930
0.2836,34569
0.1626,60319
0.0616,35852
0.026,42775
0.0186,43846
